Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out with Global Variable,Chrome 109.0.0.0,,,2023-01-26 10:53:00,2023-01-26 10:54:12,1m - 12.015s,FAILED
,,,,,,,
Test Cases/KSGM-74 TC - Order and check out a single product,Chrome 109.0.0.0,"Summary: TC - Order and check out a single product
Description: ",jira-integration,2023-01-26 10:53:00,2023-01-26 10:54:10,1m - 10.193s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-26 10:53:02,2023-01-26 10:53:16,14.574s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 109.0.0.0,,,2023-01-26 10:53:16,2023-01-26 10:53:17,0.359s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 109.0.0.0,,,2023-01-26 10:53:17,2023-01-26 10:53:19,2.428s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-26 10:53:19,2023-01-26 10:53:30,11.007s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 109.0.0.0,,,2023-01-26 10:53:30,2023-01-26 10:54:04,33.788s,PASSED
sample.Login.logoutFromApplication(),Chrome 109.0.0.0,,,2023-01-26 10:54:04,2023-01-26 10:54:10,5.812s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-26 10:54:10,2023-01-26 10:54:10,0.663s,PASSED
,,,,,,,
Test Cases/KSGM-77 TC - Order and check out a single product using coupons,Chrome 109.0.0.0,"Summary: TC - Order and check out a single product using coupons
Description: ",jira-integration,2023-01-26 10:54:10,2023-01-26 10:54:12,1.437s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 109.0.0.0,,,2023-01-26 10:54:11,2023-01-26 10:54:11,0.001s,NOT_RUN
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 109.0.0.0,,,2023-01-26 10:54:11,2023-01-26 10:54:12,1.073s,FAILED
