Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out a single product multiple times,,,,2023-02-01 02:47:46,2023-02-01 02:48:16,30.793s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,,,,2023-02-01 02:47:50,2023-02-01 02:48:10,19.593s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),,,,2023-02-01 02:47:56,2023-02-01 02:48:10,14.033s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,,,,2023-02-01 02:48:12,2023-02-01 02:48:12,0.627s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),,,,2023-02-01 02:48:12,2023-02-01 02:48:12,0.428s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,,,,2023-02-01 02:48:14,2023-02-01 02:48:14,0.482s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),,,,2023-02-01 02:48:14,2023-02-01 02:48:14,0.302s,FAILED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,,,,2023-02-01 02:48:16,2023-02-01 02:48:16,0.345s,FAILED
sample.Login.loginIntoApplicationWithGlobalVariable(),,,,2023-02-01 02:48:16,2023-02-01 02:48:16,0.256s,FAILED
